MINFILNO,RANK,NAME
082ENE001,1,"MCKINLEY"
082ENE001,2,"MCKINLEY (L.140S)"
082ENE001,3,"FRANKLIN CAMP"
082ENE002,1,"BANNER"
082ENE002,2,"BANNER (L.1199)"
082ENE002,3,"PLATINUM BLONDE"
082ENE002,4,"FRANKLIN CAMP"
082ENE002,5,"HOMESTAKE"
082ENE002,6,"NORTH BANNER"
082ENE003,1,"UNION"
082ENE003,2,"UNION (L.1022S)"
082ENE003,3,"PAPER DOLLAR (L.1677S)"
082ENE003,4,"UNION FRACTION (L.1678S)"
082ENE003,5,"IDAHO (L.1679S)"
082ENE003,6,"FRANKLIN CAMP"
082ENE004,1,"LITTLE"
082ENE004,2,"FRANKLIN CAMP"
082ENE005,1,"GLOUCESTER"
082ENE005,2,"GLOUCESTER (L.2809)"
082ENE005,3,"GLOUCESTER GROUP"
082ENE005,4,"GLOUSTER GROUP"
082ENE005,5,"FRANKLIN CAMP"
082ENE006,1,"G.H."
082ENE006,2,"G.H. (L.2810)"
082ENE006,3,"GLOUCESTER GROUP"
082ENE006,4,"GLOUSTER GROUP"
082ENE006,5,"FRANKLIN CAMP"
082ENE006,6,"OPHER (L.2811)"
082ENE007,1,"AVERILL"
082ENE007,2,"PLATINUM BLONDE"
082ENE007,3,"FRANKLIN CAMP"
082ENE008,1,"BUFFALO"
082ENE008,2,"BUFFALO (L.920S)"
082ENE008,3,"PLATINUM BLONDE"
082ENE008,4,"FRANKLIN CAMP"
082ENE009,1,"MAPLE LEAF"
082ENE009,2,"PLATINUM BLONDE"
082ENE009,3,"KINGFISHER"
082ENE009,4,"PAR"
082ENE009,5,"MAPLE LEAF (L.1609S)"
082ENE009,6,"MAPLE LEAF(GENIE)"
082ENE009,7,"TWILIGHT"
082ENE009,8,"CLIMAX"
082ENE009,9,"FRANKLIN CAMP"
082ENE010,1,"ROYAL TINTO"
082ENE010,2,"FRANKLIN CAMP"
082ENE011,1,"COPKET"
082ENE011,2,"COPKET #3 FR."
082ENE011,3,"LOTTIE F (L.2949)"
082ENE011,4,"MESSINA (L.2951)"
082ENE011,5,"STERLINGHAM FR. (L.1901)"
082ENE011,6,"COPKET 1-8"
082ENE011,7,"DAVID"
082ENE011,8,"DAVID 1-6"
082ENE011,9,"CUP"
082ENE011,10,"SAND"
082ENE012,1,"ELLSWORTH"
082ENE012,2,"BEV"
082ENE012,3,"TUFF"
082ENE012,4,"MAL"
082ENE012,5,"JOHN"
082ENE012,6,"MOSH"
082ENE013,1,"BULLION"
082ENE013,2,"BULLION (L.1200)"
082ENE013,3,"PLATINUM BLONDE"
082ENE013,4,"FRANKLIN CAMP"
082ENE014,1,"ALCO"
082ENE014,2,"ALCO 4-8"
082ENE014,3,"DOE 1-2"
082ENE014,4,"BEAR 1-8"
082ENE014,5,"COPPER"
082ENE014,6,"COPPER 2"
082ENE014,7,"COPPER GROUP"
082ENE014,8,"RIVERSIDE"
082ENE014,9,"DREADNAUGHT"
082ENE014,10,"LEADER"
082ENE014,11,"EDNA"
082ENE014,12,"LEAH"
082ENE014,13,"WHITETAIL"
082ENE014,14,"WHITETAIL FRACTION"
082ENE014,15,"FRANKLIN CAMP"
082ENE015,1,"FUKI"
082ENE015,2,"DONEN"
082ENE016,1,"BS"
082ENE016,2,"PANE"
082ENE016,3,"FERN"
082ENE017,1,"WATERLOO"
082ENE017,2,"WATERLOO NO.3 (L.4815)"
082ENE017,3,"LIGHTNING PEAK CAMP"
082ENE018,1,"LIGHTNING PEAK PERIDOTE"
082ENE019,1,"PINTO"
082ENE019,2,"PINTO (L.3240)"
082ENE019,3,"CAG 1-6"
082ENE019,4,"PI 1-3"
082ENE019,5,"SANDY"
082ENE019,6,"LOIN"
082ENE019,7,"FRANKLIN CAMP"
082ENE020,1,"VERDE (L.1011S)"
082ENE020,2,"UNITED VERDE"
082ENE020,3,"VIOLET FR. (L.588S)"
082ENE020,4,"HENNEKIN (L.439S)"
082ENE020,5,"PLATINUM BLONDE"
082ENE020,6,"SPRING 1-6"
082ENE020,7,"FRANKLIN CAMP"
082ENE021,1,"YELLOW JACKET"
082ENE021,2,"YELLOW JACKET (L.924S)"
082ENE022,1,"MORNING"
082ENE022,2,"MORNING NO. 2"
082ENE022,3,"CORDOVA"
082ENE022,4,"ONTARIO"
082ENE022,5,"DIRECTOR"
082ENE022,6,"DIRECTOR 5"
082ENE022,7,"PAYCHECK"
082ENE022,8,"MORNING 1"
082ENE022,9,"MORNING 2"
082ENE022,10,"ROB 1"
082ENE022,11,"XEN 1"
082ENE022,12,"LIGHTNING PEAK CAMP"
082ENE022,13,"WINNIFRED CREEK"
082ENE023,1,"DICTATOR"
082ENE023,2,"DICTATOR (L.4636)"
082ENE023,3,"ROB 1"
082ENE023,4,"AZZA"
082ENE023,5,"LIGHTNING PEAK CAMP"
082ENE023,6,"XEN"
082ENE024,1,"POTOSI"
082ENE024,2,"POTOSI 1-4"
082ENE024,3,"POTOSI LOC. 4-6"
082ENE024,4,"PEAK 23-25"
082ENE024,5,"PEAK 41"
082ENE024,6,"JON"
082ENE024,7,"LIGHTNING PEAK CAMP"
082ENE025,1,"SILVER SPOT LOC. 8"
082ENE025,2,"SILVER SPOT"
082ENE025,3,"PEAK 38"
082ENE025,4,"GRIZZ 3"
082ENE025,5,"LIGHTNING PEAK CAMP"
082ENE026,1,"SILVER SPOT LOC. 9"
082ENE026,2,"SILVER SPOT"
082ENE026,3,"PEAK 40"
082ENE026,4,"RHONDDA"
082ENE026,5,"GRIZZ 3"
082ENE026,6,"LIGHTNING PEAK CAMP"
082ENE027,1,"AU"
082ENE027,2,"PEAK 40"
082ENE027,3,"RHONDDA"
082ENE027,4,"GRIZZ 1"
082ENE027,5,"LIGHTNING PEAK CAMP"
082ENE028,1,"SILVER SPOT NO. 3"
082ENE028,2,"SILVER SPOT LOC. 11"
082ENE028,3,"PEAK 58"
082ENE028,4,"GRIZZ 2"
082ENE028,5,"REN 1"
082ENE028,6,"LIGHTNING PEAK CAMP"
082ENE029,1,"SILVER SPOT NO. 4"
082ENE029,2,"SILVER SPOT LOC. 12"
082ENE029,3,"SILVER SPOT LOC. 13"
082ENE029,4,"SILVER SPOT"
082ENE029,5,"PEAK 78"
082ENE029,6,"GEO 1"
082ENE029,7,"LIGHTNING PEAK CAMP"
082ENE030,1,"COLLIER"
082ENE030,2,"DONEN"
082ENE031,1,"LUMPY"
082ENE031,2,"LUMPY LOC. 14"
082ENE031,3,"BIG P2"
082ENE031,4,"PEAK 91"
082ENE031,5,"LIGHTNING PEAK CAMP"
082ENE032,1,"RAMPALO"
082ENE032,2,"RAMPALO L. 2408"
082ENE032,3,"RAMPALO LOC. 16"
082ENE032,4,"RAMPALO LOC. 17"
082ENE032,5,"SILVER LUMP"
082ENE032,6,"SILVER LUMP L. 2409"
082ENE032,7,"RAMPALO FRACTION"
082ENE032,8,"PEAK 96"
082ENE032,9,"LIGHTNING PEAK CAMP"
082ENE033,1,"IXL"
082ENE033,2,"IXL (L.1030S)"
082ENE033,3,"BURRELL"
082ENE033,4,"JUMBO (L.143)"
082ENE033,5,"WALLACE (L.142S)"
082ENE033,6,"FRANKLIN CAMP"
082ENE034,1,"KILLARNEY"
082ENE034,2,"KILARNEY"
082ENE034,3,"KILLARNEY (L.4637)"
082ENE034,4,"KILLARNEY GROUP LOC. 18"
082ENE034,5,"THUNDER HILL FRACTION (L.4638)"
082ENE034,6,"LUCKY JIM FRACTION (L.4639)"
082ENE034,7,"LIGHTNING PEAK CAMP"
082ENE035,1,"LIGHTNING PEAK"
082ENE035,2,"THUNDER HILL (L.3413)"
082ENE035,3,"FIRST CHANCE (L.3414)"
082ENE035,4,"WEST FORK (L.3413)"
082ENE035,5,"JIM HILL (L.3416)"
082ENE035,6,"EQUINOX"
082ENE035,7,"LIGHTNING PEAK GROUP LOC.19-20"
082ENE035,8,"M22"
082ENE036,1,"BLUE"
082ENE036,2,"RT 9"
082ENE037,1,"PAY DAY"
082ENE037,2,"PAYCHECK"
082ENE037,3,"PAY DAY GROUP LOC. 21"
082ENE037,4,"PEAK 171"
082ENE037,5,"DAY 1-4"
082ENE037,6,"PAY DAY 1-2"
082ENE037,7,"LIGHTNING PEAK CAMP"
082ENE037,8,"RAM"
082ENE038,1,"BIG HILL"
082ENE038,2,"GEO 2"
082ENE038,3,"PEAK 152"
082ENE038,4,"LIGHTNING PEAK CAMP"
082ENE039,1,"PILOT"
082ENE039,2,"UTA"
082ENE039,3,"PEAK 157"
082ENE039,4,"L.P. 3"
082ENE039,5,"LP 3"
082ENE039,6,"LIGHTNING PEAK CAMP"
082ENE039,7,"XEN 2"
082ENE040,1,"SAND"
082ENE040,2,"SAND 26"
082ENE040,3,"BIG FOOT"
082ENE041,1,"CUP LAKE"
082ENE041,2,"DONEN"
082ENE041,3,"CAROL"
082ENE042,1,"JIMMY"
082ENE042,2,"JIMMY FR."
082ENE042,3,"PLATINUM BLONDE"
082ENE042,4,"FRANKLIN (L.438S)"
082ENE042,5,"FRANKLIN CAMP"
082ENE043,1,"LOUMARK"
082ENE043,2,"EAST LOUMARK"
082ENE043,3,"WEST LOUMARK"
082ENE043,4,"TACK"
082ENE043,5,"KING GEORGE MINE"
082ENE043,6,"KETTLE RIVER"
082ENE043,7,"WIN 14-16"
082ENE044,1,"SAB"
082ENE044,2,"SAB 5"
082ENE044,3,"STOCKWORK"
082ENE044,4,"LEAD"
082ENE044,5,"SOUTH"
082ENE044,6,"KETTLE"
082ENE044,7,"BS 12"
082ENE044,8,"BAS"
082ENE045,1,"NOVE 1"
082ENE045,2,"FRANKLIN CAMP"
082ENE046,1,"BLIZZARD"
082ENE046,2,"BEVERLY"
082ENE046,3,"MORAIG"
082ENE046,4,"PATRICIA"
082ENE047,1,"LASSIE"
082ENE047,2,"DONEN 361"
082ENE048,1,"ML"
082ENE048,2,"SILVER SPOT NO. 4"
082ENE048,3,"SILVER SPOT LOC. 13"
082ENE049,1,"TP"
082ENE049,2,"TEEPEE 1-2"
082ENE049,3,"TP 1-6"
082ENE049,4,"LIGHTNING PEAK CAMP"
082ENE050,1,"ALDIE"
082ENE050,2,"ALDIE (L.3239)"
082ENE050,3,"PLATINUM BLONDE"
082ENE050,4,"FRANKLIN CAMP"
082ENE051,1,"HOMESTAKE"
082ENE051,2,"HOMESTAKE (L.589S)"
082ENE051,3,"PLATINUM BLONDE"
082ENE051,4,"FRANKLIN CAMP"
082ENE052,1,"ALPHA"
082ENE052,2,"ALPHA (L.1204)"
082ENE052,3,"PLATINUM BLONDE"
082ENE052,4,"FRANKLIN CAMP"
082ENE053,1,"GOLDEN"
082ENE053,2,"GOLDEN AGE (L.987S)"
082ENE053,3,"PLATINUM BLONDE"
082ENE053,4,"FRANKLIN CAMP"
082ENE053,5,"ALERT (L.930S)"
082ENE054,1,"BLUE JAY"
082ENE054,2,"PLATINUM BLONDE"
082ENE054,3,"FRANKLIN CAMP"
082ENE055,1,"MOUNTAIN LION"
082ENE055,2,"MOUNTAIN LION (L.144S)"
082ENE055,3,"PLATINUM BLONDE"
082ENE055,4,"FRANKLIN CAMP"
082ENE056,1,"LUCKY JACK (L.1026S)"
082ENE056,2,"WHITE BEAR GROUP"
082ENE056,3,"DAJG 5"
082ENE056,4,"PLATINUM BLONDE"
